cellMarker,shortname
LMO1,Neuron
LONRF2,Neuron
LPCAT4,Neuron
LPIN1,Neuron
LRCH1,Neuron
LRP11,Neuron
LRRC45,Neuron
LRRN3,Neuron
LSAMP,Neuron
LSM3,Neuron
LSMEM1,Neuron
LUZP1,Neuron
LYNX1,Neuron
LYPLA1,Neuron
LYSMD2,Neuron
MACROD1,Neuron
MAGEE1,Neuron
MAMLD1,Neuron
MAP3K10,Neuron
MAP4K2,Neuron
MAP6,Neuron
MAP7D1,Neuron
MAPK12,Neuron
MAPK6,Neuron
MAPKAPK2,Neuron
MAPKAPK3,Neuron
MAPRE3,Neuron
MARK4,Neuron
MAST1,Neuron
MAX,Neuron
MCF2L,Neuron
MCL1,Neuron
MCTS1,Neuron
MCU,Neuron
ME3,Neuron
MECP2,Neuron
MED24,Neuron
MED7,Neuron
MEN1,Neuron
METTL14,Neuron
METTL21A,Neuron
METTL22,Neuron
MFHAS1,Neuron
MFN2,Neuron
MGAT3,Neuron
MGST3,Neuron
MIF,Neuron
MIPEP,Neuron
MITD1,Neuron
MLLT3,Neuron
MLXIP,Neuron
MMP15,Neuron
MOB2,Neuron
MON1A,Neuron
MORC3,Neuron
MOSPD1,Neuron
MPC1,Neuron
MPI,Neuron
MPPE1,Neuron
MPRIP,Neuron
MRPL11,Neuron
MRPL18,Neuron
MRPL4,Neuron
MRPL42,Neuron
MRPL45,Neuron
MRPS16,Neuron
MRPS17,Neuron
MRPS2,Neuron
MRPS36,Neuron
MRPS6,Neuron
MRPS9,Neuron
MRS2,Neuron
MSANTD3,Neuron
MSANTD4,Neuron
MSH3,Neuron
MSH6,Neuron
MSL3,Neuron
MT1,Neuron
MT3,Neuron
MTAP,Neuron
MTFP1,Neuron
MTFR1,Neuron
MTIF3,Neuron
MTMR6,Neuron
MTUS1,Neuron
MTUS2,Neuron
MTX1,Neuron
MUL1,Neuron
MVB12B,Neuron
MYADML2,Neuron
MYH10,Neuron
MYH7B,Neuron
MYO16,Neuron
MYO19,Neuron
MYRIP,Neuron
NAA35,Neuron
NACAD,Neuron
NAE1,Neuron
NAP1L2,Neuron
NAT8L,Neuron
NCAPH2,Neuron
NCKAP1,Neuron
NCKIPSD,Neuron
NDFIP2,Neuron
NDRG3,Neuron
NDUFAF2,Neuron
NDUFAF4,Neuron
NDUFC2,Neuron
NEDD9,Neuron
NET1,Neuron
NEXN,Neuron
NFATC2,Neuron
NFKB1,Neuron
NIT1,Neuron
NKIRAS1,Neuron
NKRF,Neuron
NMNAT1,Neuron
NMRK1,Neuron
NOL4,Neuron
NOP56,Neuron
NOP9,Neuron
NOS1,Neuron
NR1D2,Neuron
NR2F6,Neuron
NRG1,Neuron
NRP2,Neuron
NSA2,Neuron
NSMAF,Neuron
NT5C3,Neuron
NTM,Neuron
NUAK1,Neuron
NUDT19,Neuron
NUPL1,Neuron
OGFR,Neuron
OLA1,Neuron
OLFM3,Neuron
OPRL1,Neuron
OSBP2,Neuron
OSBPL1A,Neuron
OSBPL3,Neuron
OSTF1,Neuron
OXNAD1,Neuron
P2RX6,Neuron
PACS2,Neuron
PACSIN1,Neuron
PAFAH1B1,Neuron
PAK1,Neuron
PANX1,Neuron
PANX2,Neuron
PAQR4,Neuron
PAQR7,Neuron
PAQR8,Neuron
PAQR9,Neuron
PARD6A,Neuron
PARP1,Neuron
PARVA,Neuron
PATL1,Neuron
PBX1,Neuron
PCBP4,Neuron
PCGF1,Neuron
PCM1,Neuron
PCNX2,Neuron
PCSK2,Neuron
PCSK5,Neuron
PCTP,Neuron
PCYT1A,Neuron
PCYT1B,Neuron
PDP1,Neuron
PDXP,Neuron
PDZD2,Neuron
PEAK1,Neuron
PECR,Neuron
PEG13,Neuron
PEG3,Neuron
PET100,Neuron
PFKFB2,Neuron
PFKM,Neuron
PFKP,Neuron
PGBD5,Neuron
PGD,Neuron
PGF,Neuron
PGM2L1,Neuron
PHF24,Neuron
PHKA1,Neuron
PHLDA3,Neuron
PHYHIP,Neuron
PIGC,Neuron
PIK3C2B,Neuron
PIK3CB,Neuron
PIK3R1,Neuron
PIK3R4,Neuron
PIM3,Neuron
PIP4K2A,Neuron
PITPNA,Neuron
PITPNC1,Neuron
PLCB1,Neuron
PLCL1,Neuron
PLD5,Neuron
PLEKHA2,Neuron
PLEKHM3,Neuron
PLPPR3,Neuron
PLVAP,Neuron
PLXNA4,Neuron
PNKD,Neuron
PNPLA3,Neuron
POLDIP2,Neuron
POLR3B,Neuron
POP5,Neuron
PPA2,Neuron
PPARGC1A,Neuron
PPARGC1B,Neuron
PPCS,Neuron
PPID,Neuron
PPIF,Neuron
PPIP5K1,Neuron
PPIP5K2,Neuron
PPM1B,Neuron
PPM1E,Neuron
PPM1J,Neuron
PPP1R12C,Neuron
PPP1R16B,Neuron
PPP1R7,Neuron
PPP1R8,Neuron
PPP1R9A,Neuron
PPP2R2B,Neuron
PPP2R2C,Neuron
PPP2R5E,Neuron
PPP3CC,Neuron
PPTC7,Neuron
PREPL,Neuron
PRKAG1,Neuron
PRKAR2B,Neuron
PRKCB,Neuron
PRMT9,Neuron
PROX1,Neuron
PRPF19,Neuron
PRPS1,Neuron
PRR3,Neuron
PRRT3,Neuron
PSMB10,Neuron
PSMD5,Neuron
PSME3,Neuron
PSMF1,Neuron
PSMG3,Neuron
PTCD1,Neuron
PTCD2,Neuron
PTDSS2,Neuron
PTEN,Neuron
PTGR2,Neuron
PTPMT1,Neuron
PTPN3,Neuron
PTPRR,Neuron
PTRH2,Neuron
QRICH1,Neuron
R3HCC1,Neuron
RAB11FIP4,Neuron
RAB11FIP5,Neuron
RAB15,Neuron
RAB3IP,Neuron
RAB6B,Neuron
RABGAP1L,Neuron
RABGEF1,Neuron
RABL2,Neuron
RAD21,Neuron
RALB,Neuron
RANBP6,Neuron
RAP1A,Neuron
RAP2A,Neuron
RAPGEF4,Neuron
RARS2,Neuron
RASGRP2,Neuron
RASGRP4,Neuron
RASL10B,Neuron
RASSF4,Neuron
RBFOX3,Neuron
RCAN1,Neuron
RCAN2,Neuron
RCBTB1,Neuron
RCC2,Neuron
RDH14,Neuron
RDM1,Neuron
REEP1,Neuron
REEP2,Neuron
REEP3,Neuron
REEP5,Neuron
RELT,Neuron
RESP18,Neuron
RGMA,Neuron
RGS2,Neuron
RGS7BP,Neuron
RHOBTB2,Neuron
RHOF,Neuron
RIMKLA,Neuron
RIOK3,Neuron
RITA1,Neuron
RND2,Neuron
RNF11,Neuron
RNF115,Neuron
RNF121,Neuron
RNF123,Neuron
RNF157,Neuron
RNF208,Neuron
OBI1,Neuron
RNF26,Neuron
RNF40,Neuron
ROBO1,Neuron
RORA,Neuron
RPAP3,Neuron
RPL7L1,Neuron
RPP21,Neuron
RPS6KA1,Neuron
RPS6KA2,Neuron
RTCA,Neuron
RTKN,Neuron
RTN2,Neuron
RTN4IP1,Neuron
RTN4RL1,Neuron
RTN4RL2,Neuron
RUBCN,Neuron
RUNX1,Neuron
RUNX1T1,Neuron
RUSC2,Neuron
RYR2,Neuron
S100B,Neuron
SCARB2,Neuron
SCG3,Neuron
SCLY,Neuron
SCN1A,Neuron
SCN1B,Neuron
SCN4B,Neuron
SCN8A,Neuron
SCRT1,Neuron
SDC4,Neuron
SEC31A,Neuron
SEH1L,Neuron
SEMA3D,Neuron
SEMA3E,Neuron
SEMA6B,Neuron
SEMA7A,Neuron
SEPHS2,Neuron
SEPTIN4,Neuron
SEPTIN6,Neuron
SERP2,Neuron
SERTM1,Neuron
SETX,Neuron
SEZ6L2,Neuron
SF3A2,Neuron
SFMBT1,Neuron
SFXN3,Neuron
SFXN5,Neuron
SGSM1,Neuron
SH2D7,Neuron
SH3BGR,Neuron
SH3BP1,Neuron
SH3BP5L,Neuron
SHB,Neuron
SHD,Neuron
SHISA4,Neuron
SIAH3,Neuron
SIRT5,Neuron
SIX4,Neuron
SLC11A2,Neuron
SLC16A1,Neuron
SLC17A7,Neuron
SLC19A2,Neuron
SLC20A1,Neuron
SLC20A2,Neuron
SLC22A15,Neuron
SLC22A23,Neuron
SLC25A14,Neuron
SLC25A25,Neuron
SLC25A36,Neuron
SLC25A46,Neuron
SLC25A51,Neuron
SLC27A4,Neuron
SLC29A2,Neuron
SLC35A3,Neuron
SLC35B4,Neuron
SLC35G2,Neuron
SLC46A1,Neuron
SLC48A1,Neuron
SLC4A2,Neuron
SLC4A8,Neuron
SLC6A17,Neuron
SLC7A1,Neuron
SLC9A3R2,Neuron
SLCO5A1,Neuron
SLITRK1,Neuron
SMARCA5,Neuron
SMARCAL1,Neuron
SMIM13,Neuron
SMPX,Neuron
SNCB,Neuron
SNN,Neuron
SNPH,Neuron
SNRPD3,Neuron
SNTG2,Neuron
SNX27,Neuron
SORBS1,Neuron
SOWAHB,Neuron
SPATA13,Neuron
SPECC1,Neuron
SPHK1,Neuron
SPIRE2,Neuron
SPOCK1,Neuron
SPOCK2,Neuron
SPPL2A,Neuron
SPR,Neuron
SPSB4,Neuron
SPTB,Neuron
SPTBN2,Neuron
SPTBN4,Neuron
SPTSSB,Neuron
SRRM4,Neuron
SSBP3,Neuron
ST3GAL1,Neuron
ST3GAL2,Neuron
ST3GAL3,Neuron
ST3GAL5,Neuron
ST3GAL6,Neuron
STARD3,Neuron
STEAP2,Neuron
STK24,Neuron
STK40,Neuron
STRIP2,Neuron
STX1B,Neuron
STXBP5L,Neuron
SUCLA2,Neuron
SUGP2,Neuron
SULF2,Neuron
SUN2,Neuron
SUSD6,Neuron
SV2B,Neuron
SV2C,Neuron
SYAP1,Neuron
SYDE1,Neuron
SYMPK,Neuron
SYNE1,Neuron
SYNJ2,Neuron
SYNJ2BP,Neuron
SYNM,Neuron
SYS1,Neuron
SYT12,Neuron
SYT2,Neuron
SYT3,Neuron
SYT7,Neuron
TAB1,Neuron
TACC2,Neuron
TAGAP1,Neuron
TAGLN3,Neuron
TBC1D30,Neuron
TBC1D4,Neuron
TCEA2,Neuron
TCN2,Neuron
TDP2,Neuron
TECPR2,Neuron
TESC,Neuron
TET1,Neuron
TFDP2,Neuron
TFIP11,Neuron
TGFBR3,Neuron
THAP11,Neuron
THOC1,Neuron
THOC5,Neuron
THRB,Neuron
THSD7B,Neuron
THTPA,Neuron
THY1,Neuron
TIMM10,Neuron
TINF2,Neuron
TIRAP,Neuron
TLR5,Neuron
TM6SF1,Neuron
TMEM135,Neuron
TMEM179,Neuron
TMEM181C-PS,Neuron
TMEM184C,Neuron
TMEM196,Neuron
TMEM222,Neuron
TMEM229B,Neuron
TMEM240,Neuron
PGAP4,Neuron
TMEM29,Neuron
TMEM41A,Neuron
TMEM63B,Neuron
TMEM70,Neuron
TMEM94,Neuron
TMOD1,Neuron
TNFRSF21,Neuron
TOB1,Neuron
TOMM5,Neuron
TOP1,Neuron
TOR2A,Neuron
TPBGL,Neuron
TPGS2,Neuron
TPM1,Neuron
TRAF3,Neuron
TRHDE,Neuron
TRIM36,Neuron
TRIM37,Neuron
TRMT13,Neuron
TRPM2,Neuron
TSC22D3,Neuron
TSC22D4,Neuron
TSKU,Neuron
TSPAN17,Neuron
TSPYL5,Neuron
TSTD3,Neuron
TTBK1,Neuron
TTC1,Neuron
TTC13,Neuron
TTC17,Neuron
TTC39A,Neuron
TTC39AOS1,Neuron
TTC39B,Neuron
TTC9B,Neuron
TTLL5,Neuron
TUBGCP3,Neuron
TUBGCP5,Neuron
UAP1,Neuron
UBE2E2,Neuron
UBE2N,Neuron
UBE2Q2,Neuron
UBE2V2,Neuron
UBE3B,Neuron
UBL4A,Neuron
UCHL5,Neuron
UGCG,Neuron
UGP2,Neuron
UGT8A,Neuron
UHMK1,Neuron
ULK1,Neuron
UNC5A,Neuron
UQCC1,Neuron
USP10,Neuron
USP14,Neuron
USP2,Neuron
USP33,Neuron
USP47,Neuron
USP6NL,Neuron
USP8,Neuron
USPL1,Neuron
UVRAG,Neuron
VARS,Neuron
VDAC2,Neuron
VEGFA,Neuron
VKORC1L1,Neuron
VPS36,Neuron
VPS52,Neuron
VSNL1,Neuron
VSTM5,Neuron
VTI1A,Neuron
VWA7,Neuron
WDR26,Neuron
WDR75,Neuron
WEE1,Neuron
WFS1,Neuron
WIPF3,Neuron
WWP1,Neuron
XYLT2,Neuron
YARS2,Neuron
YIPF1,Neuron
YPEL4,Neuron
YTHDC2,Neuron
YTHDF1,Neuron
YTHDF3,Neuron
ZBTB17,Neuron
ZCCHC2,Neuron
ZCRB1,Neuron
ZDHHC1,Neuron
ZDHHC5,Neuron
ZFP157,Neuron
ZFP2,Neuron
ZFP24,Neuron
ZFP30,Neuron
ZFP322A,Neuron
ZFP354C,Neuron
ZFP385A,Neuron
ZFP397,Neuron
ZFP422,Neuron
ZFP426,Neuron
ZFP511,Neuron
ZFP521,Neuron
ZFP62,Neuron
ZFP672,Neuron
ZFP687,Neuron
ZFP770,Neuron
ZFP804A,Neuron
ZFP930,Neuron
ZFP935,Neuron
ZFP958,Neuron
ZFYVE28,Neuron
ZRSR2,Neuron
ZSCAN21,Neuron
ZYX,Neuron
FAM174C,Neuron
1600029O15RIK,Neuron
1700001K19RIK,Neuron
1700006F04RIK,Neuron
1700019D03RIK,Neuron
EFCAB15,Neuron
2610001J05RIK,Neuron
2900026A02RIK,Neuron
4930480K15RIK,Neuron
9230102O04RIK,Neuron
9430038I01RIK,Neuron
9430091E24RIK,Neuron
A430035B10RIK,Neuron
A930011G23RIK,Neuron
ABCB1A,Neuron
ABHD2,Neuron
ABHD4,Neuron
ACADL,Neuron
ACTN2,Neuron
ACVR2A,Neuron
ADAM17,Neuron
ADAM19,Neuron
ADAMTSL5,Neuron
ADARB2,Neuron
ADCY2,Neuron
ADGRB1,Neuron
ADM,Neuron
AFF3,Neuron
AGPAT3,Neuron
AGPAT4,Neuron
AGTRAP,Neuron
AI413582,Neuron
AKAP13,Neuron
ALCAM,Neuron
ALDOART2,Neuron
ALKBH1,Neuron
ALKBH2,Neuron
ANO2,Neuron
ANTXR2,Neuron
APAF1,Neuron
APOBEC1,Neuron
ARAP2,Neuron
ARHGAP27,Neuron
ARHGAP27OS3,Neuron
ARHGAP36,Neuron
ARHGAP39,Neuron
ARHGEF28,Neuron
ARNT2,Neuron
ARPC5,Neuron
ASAP3,Neuron
ASB1,Neuron
ASCL2,Neuron
ASL,Neuron
ASPHD2,Neuron
ASS1,Neuron
ASTN2,Neuron
ATG16L2,Neuron
ATP10D,Neuron
ATP2B4,Neuron
B230216N24RIK,Neuron
BAALC,Neuron
BEAN1,Neuron
BEX1,Neuron
BEX4,Neuron
BGN,Neuron
BMP7,Neuron
BMPR1A,Neuron
CABIN1,Neuron
CACHD1,Neuron
CACNA1E,Neuron
CACNA2D1,Neuron
CACNA2D2,Neuron
CACNG5,Neuron
CAMK1G,Neuron
CAPN5,Neuron
CBLB,Neuron
CBX4,Neuron
CCDC112,Neuron
CCDC167,Neuron
CCDC22,Neuron
CCDC28B,Neuron
CCDC77,Neuron
CD200,Neuron
CD47,Neuron
CD63,Neuron
CD74,Neuron
CES2G,Neuron
CFLAR,Neuron
CHD3,Neuron
CHMP1A,Neuron
CHN2,Neuron
CHTOP,Neuron
CILP,Neuron
CKAP4,Neuron
CLCN1,Neuron
CLDN9,Neuron
CLIC1,Neuron
CLINT1,Neuron
CMTM4,Neuron
CNKSR2,Neuron
CNOT8,Neuron
CNTNAP5B,Neuron
COL28A1,Neuron
COMMD7,Neuron
CPNE1,Neuron
CPNE8,Neuron
CPSF3,Neuron
CRABP1,Neuron
CRIP2,Neuron
CRISPLD1,Neuron
CRTAC1,Neuron
CSF1R,Neuron
CSRP1,Neuron
CTC1,Neuron
CTHRC1,Neuron
CTNNA1,Neuron
CUX2,Neuron
CWC22,Neuron
CYB5A,Neuron
CYP39A1,Neuron
D030028A08RIK,Neuron
DEFB47,Neuron
DGKH,Neuron
DLG5,Neuron
DMD,Neuron
DNPH1,Neuron
DOK6,Neuron
DOK7,Neuron
DONSON,Neuron
DPYSL3,Neuron
DUBR,Neuron
DUPD1,Neuron
DUSP11,Neuron
E230016M11RIK,Neuron
EBF4,Neuron
EDARADD,Neuron
EEF2KMT,Neuron
EFEMP2,Neuron
EFNA5,Neuron
EFNB1,Neuron
EFS,Neuron
EGFL7,Neuron
ELOVL1,Neuron
ELP4,Neuron
EML1,Neuron
EML6,Neuron
EPB41,Neuron
EPB41L4A,Neuron
EPHA8,Neuron
EPHB2,Neuron
EPN2,Neuron
EPS15,Neuron
ERC1,Neuron
ERLIN2,Neuron
EZR,Neuron
F11R,Neuron
F2R,Neuron
FAM117A,Neuron
FAM178B,Neuron
FAM20A,Neuron
FAM219B,Neuron
FAM227A,Neuron
FBLN5,Neuron
FBLN7,Neuron
FBN2,Neuron
FBXW17,Neuron
FDFT1,Neuron
FDXR,Neuron
FES,Neuron
FGD2,Neuron
FGFR3,Neuron
FIRRE,Neuron
FLNB,Neuron
FLOT2,Neuron
FLRT3,Neuron
FLYWCH2,Neuron
FMOD,Neuron
FNBP1,Neuron
FNBP1L,Neuron
FOXJ2,Neuron
FPGT,Neuron
FRAT1,Neuron
FRMD8,Neuron
FSTL4,Neuron
FSTL5,Neuron
FUBP3,Neuron
FURIN,Neuron
FUT9,Neuron
FXYD2,Neuron
FXYD6,Neuron
GABPA,Neuron
GABRB2,Neuron
GABRG2,Neuron
GADD45G,Neuron
GALNT5,Neuron
GAP43,Neuron
GATA2,Neuron
GFRA1,Neuron
GLDN,Neuron
GM10578,Neuron
GM16023,Neuron
GM16070,Neuron
GM19522,Neuron
GM5148,Neuron
GM5532,Neuron
GM6498,Neuron
GM6548,Neuron
GMPPA,Neuron
GNAO1,Neuron
GNB4,Neuron
GNG10,Neuron
GNG2,Neuron
GPD2,Neuron
GPR149,Neuron
GPR37,Neuron
GPR88,Neuron
GPRASP2,Neuron
GPRC5C,Neuron
GPSM1,Neuron
GPSM2,Neuron
GPX8,Neuron
GREB1L,Neuron
GRHL1,Neuron
GRIK3,Neuron
GRIN2C,Neuron
GRIN3A,Neuron
GSTP1,Neuron
GTF2IRD1,Neuron
GTF3A,Neuron
H2-AA,Neuron
H2-AB1,Neuron
H2-D1,Neuron
H2-DMB1,Neuron
H2-DMB2,Neuron
HACD4,Neuron
HAMP,Neuron
HEY1,Neuron
HMGA2-PS1,Neuron
HMGN1,Neuron
HMGN2,Neuron
HMGN3,Neuron
HNRNPH3,Neuron
HPCA,Neuron
HPCAL1,Neuron
HS6ST3,Neuron
HSPB1,Neuron
HTR7,Neuron
HYI,Neuron
ICA1L,Neuron
ID1,Neuron
ID2,Neuron
ID3,Neuron
ID4,Neuron
IGSF1,Neuron
IGSF21,Neuron
IGSF8,Neuron
IGTP,Neuron
IIGP1,Neuron
IL11RA1,Neuron
IL3RA,Neuron
IL4RA,Neuron
IMMP2L,Neuron
IRGM2,Neuron
ISLR,Neuron
ITGA9,Neuron
ITGB1,Neuron
ITPK1,Neuron
ITSN1,Neuron
IZUMO4,Neuron
JDP2,Neuron
JPH4,Neuron
KCNA6,Neuron
KCNC4,Neuron
KCND1,Neuron
KCTD12,Neuron
KIRREL3,Neuron
KITL,Neuron
KLHL5,Neuron
L1CAM,Neuron
LDHA,Neuron
LIMS2,Neuron
LIN28B,Neuron
LIN7A,Neuron
LMNA,Neuron
GM16958,Neuron
LPAR1,Neuron
LRRC75A,Neuron
LRRTM2,Neuron
LRRTM3,Neuron
LXN,Neuron
LY6H,Neuron
MAFB,Neuron
MAGEF1,Neuron
MAGI1,Neuron
MAML3,Neuron
MAN1C1,Neuron
MAP3K9,Neuron
MAP7,Neuron
MAPK3,Neuron
MARCKS,Neuron
MARCKSL1,Neuron
MBOAT2,Neuron
MC4R,Neuron
MCMBP,Neuron
MED18,Neuron
METRNL,Neuron
MFAP3,Neuron
MICAL1,Neuron
MIR3064,Neuron
MMGT2,Neuron
MMP14,Neuron
MMP16,Neuron
MMRN2,Neuron
MOB3C,Neuron
MORN4,Neuron
MPDU1,Neuron
MPP3,Neuron
MPP6,Neuron
MPV17L2,Neuron
MTA3,Neuron
MTCL1,Neuron
MTHFS,Neuron
MUC15,Neuron
MXI1,Neuron
MXRA7,Neuron
MXRA8,Neuron
MYL1,Neuron
MYO1C,Neuron
MYO7A,Neuron
NAGA,Neuron
NAMPT,Neuron
NCK2,Neuron
NECAB1,Neuron
NEURL1A,Neuron
NFKBIE,Neuron
NHSL2,Neuron
NIPSNAP3B,Neuron
NMB,Neuron
NME3,Neuron
NNAT,Neuron
NOG,Neuron
NOP16,Neuron
NRP1,Neuron
NSG2,Neuron
NUBPL,Neuron
NUCB1,Neuron
NUPL2,Neuron
NXN,Neuron
NXPH4,Neuron
OAT,Neuron
OCRL,Neuron
OLFM2,Neuron
OPHN1,Neuron
PACRG,Neuron
PALLD,Neuron
PALM,Neuron
PALMD,Neuron
PAM,Neuron
PAN2,Neuron
PARD6G,Neuron
PCDH17,Neuron
PCDH20,Neuron
PCDHGA4,Neuron
PCNX,Neuron
PDE1C,Neuron
PDIA4,Neuron
PDLIM4,Neuron
PEA15A,Neuron
PGRMC2,Neuron
PHF12,Neuron
PHF3,Neuron
PHLDB2,Neuron
PIGL,Neuron
PIM2,Neuron
PISD,Neuron
PISD-PS3,Neuron
PITHD1,Neuron
PKIB,Neuron
PKIG,Neuron
PKP4,Neuron
PLA2G6,Neuron
PLCB3,Neuron
PLEKHG5,Neuron
PLK5,Neuron
PLP2,Neuron
PNRC2,Neuron
PPEF1,Neuron
PPFIA2,Neuron
PPP1R27,Neuron
PRDX1,Neuron
PRELP,Neuron
PRIMA1,Neuron
PRKCD,Neuron
PRPF39,Neuron
PSEN2,Neuron
PSME1,Neuron
PSME2,Neuron
PSME2B,Neuron
PTCHD1,Neuron
PTPN11,Neuron
PTPN13,Neuron
PTPN14,Neuron
PTPN5,Neuron
PTPRM,Neuron
PTPRO,Neuron
PWWP2B,Neuron
PYCRL,Neuron
QPCT,Neuron
R74862,Neuron
RAB13,Neuron
RAB3B,Neuron
RAD52,Neuron
RALA,Neuron
RAP1B,Neuron
RBMS1,Neuron
RCN1,Neuron
RGS17,Neuron
RGS3,Neuron
RHOC,Neuron
RIC8A,Neuron
RIMS3,Neuron
RIN2,Neuron
RNASE4,Neuron
RNF181,Neuron
RNF44,Neuron
RNPC3,Neuron
ROR2,Neuron
RPH3A,Neuron
RPL32L,Neuron
RPS12,Neuron
RPS18,Neuron
RPS6,Neuron
RRBP1,Neuron
RRM2B,Neuron
RSPH9,Neuron
RSU1,Neuron
RWDD2B,Neuron
RXFP3,Neuron
RYBP,Neuron
S100A1,Neuron
S100A13,Neuron
SAMD8,Neuron
SCARLETLTR,Neuron
SCG2,Neuron
SCMH1,Neuron
SCN2B,Neuron
SCN9A,Neuron
SCRIB,Neuron
SDSL,Neuron
SEC61A1,Neuron
SEL1L3,Neuron
SEMA6D,Neuron
SERINC5,Neuron
SERPINF1,Neuron
SERTAD1,Neuron
SESTD1,Neuron
SGK3,Neuron
SGPL1,Neuron
SH3BGRL,Neuron
SH3BGRL2,Neuron
SH3KBP1,Neuron
SHC3,Neuron
SHISA2,Neuron
SHROOM3,Neuron
SIK1,Neuron
SIPA1L1,Neuron
SKAP1,Neuron
SLC29A4,Neuron
SLC35A2,Neuron
SLC35D1,Neuron
SLC36A1,Neuron
SLC36A2,Neuron
SLC4A10,Neuron
SLC52A3,Neuron
SLC6A4,Neuron
SLC7A11,Neuron
SLC7A8,Neuron
SLC9A3R1,Neuron
SLC9B2,Neuron
SMAD1,Neuron
SMAD6,Neuron
SMAD7,Neuron
SMIM15,Neuron
SMIM22,Neuron
SNCA,Neuron
SNHG17,Neuron
SNHG7,Neuron
SNORA70,Neuron
SNX8,Neuron
SOCS1,Neuron
SORCS3,Neuron
SORL1,Neuron
SPATA24,Neuron
SPEG,Neuron
SPRN,Neuron
SPSB1,Neuron
SPSB2,Neuron
SSR4,Neuron
ST8SIA4,Neuron
STARD13,Neuron
STAT6,Neuron
STYX,Neuron
SUGCT,Neuron
SUSD5,Neuron
SYCE2,Neuron
SYNE4,Neuron
SYT1,Neuron
SYT5,Neuron
TAX1BP3,Neuron
TBC1D10A,Neuron
TBC1D22A,Neuron
TBC1D8,Neuron
TBCEL,Neuron
TBL1X,Neuron
TCEA3,Neuron
TCERG1L,Neuron
TEX15,Neuron
TEX33,Neuron
TEX43,Neuron
TH,Neuron
TJP2,Neuron
TLE4,Neuron
TLR4,Neuron
TM4SF1,Neuron
TMBIM1,Neuron
TMEM104,Neuron
TMEM106A,Neuron
TMEM119,Neuron
TMEM132B,Neuron
TMEM132E,Neuron
TMEM169,Neuron
TMEM176A,Neuron
TMEM176B,Neuron
TMEM186,Neuron
TMEM200A,Neuron
TMEM221,Neuron
TMEM241,Neuron
TMPRSS3,Neuron
TMSB10,Neuron
TMTC2,Neuron
TMX1,Neuron
TNC,Neuron
TNNT1,Neuron
TNR,Neuron
TNS1,Neuron
TNS3,Neuron
TOM1,Neuron
TPD52,Neuron
TPM4,Neuron
TPPP,Neuron
TRAFD1,Neuron
TRAPPC6A,Neuron
TREM2,Neuron
TRIM25,Neuron
TRIM62,Neuron
TRIP10,Neuron
TRMT1L,Neuron
TRPM3,Neuron
TRPV2,Neuron
TSHZ3,Neuron
TSSK6,Neuron
TUBA8,Neuron
TUBB2A-PS2,Neuron
TUBB2B,Neuron
UBA2,Neuron
UBASH3A,Neuron
UBE2QL1,Neuron
UBTD2,Neuron
UNC13B,Neuron
UNC5B,Neuron
USP11,Neuron
VAMP2,Neuron
VAMP8,Neuron
VAV3,Neuron
VPS37B,Neuron
VWA1,Neuron
WASF2,Neuron
WDR6,Neuron
WDR76,Neuron
WDR90,Neuron
WLS,Neuron
WNT3,Neuron
WWC1,Neuron
XAB2,Neuron
XIST,Neuron
XPO6,Neuron
YBX1,Neuron
ZBTB8A,Neuron
ZFP142,Neuron
ZFP185,Neuron
ZFP319,Neuron
ZFP57,Neuron
ZFP646,Neuron
ZFYVE1,Neuron
ZMYND11,Neuron
KCNC3,Neuron
NEFL,Neuron
SCN4B,Neuron
TUBB3,Neuron
GATA3,Neuron
MAFB,Neuron
PRPH,Neuron
TH,Neuron
ASCL1,Monocyte
NEUROD1,Precursor Cell
NEUROG1,Precursor Cell
GAP43,Neuron
GNG8,Neuron
OMP,Neuron
APOE,Stem Cell
FABP7,Stem Cell
GFAP,Stem Cell
SLC1A3,Stem Cell
SOX2,Stem Cell
SOX9,Stem Cell
THRSP,Stem Cell
SOX11,Precursor Cell
EOMES,Precursor Cell
ELAPOR1,Neuron
AATF,Neuron
ANGPT1,Neuron
B3GALT1,Neuron
BBX,Neuron
BIN1,Neuron
CACNA2D1,Neuron
CACNA2D2,Neuron
CCDC148,Neuron
CDH4,Neuron
CDYL,Neuron
CEP112,Neuron
CLSTN2,Neuron
CNTNAP2,Neuron
COBLL1,Neuron
DACH1,Neuron
DIABLO,Neuron
DSCAML1,Neuron
DYNC1I1,Neuron
EBF3,Neuron
EMX2OS,Neuron
EPHA3,Neuron
RIPOR2,Neuron
FAT3,Neuron
FMN1,Neuron
FNDC3B,Neuron
FRMD4B,Neuron
GFRA1,Neuron
GPC1,Neuron
KCNB2,Neuron
KCNC2,Neuron
KCNH7,Neuron
MAML3,Neuron
MSI2,Neuron
NDNF,Neuron
NRG1,Neuron
PDZD2,Neuron
PLEKHA7,Neuron
POU6F2,Neuron
RBMS1,Neuron
RELN,Neuron
ROBO2,Neuron
SLC22A15,Neuron
SLC2A13,Neuron
SMAD1,Neuron
THSD7B,Neuron
TMEM163,Neuron
TMEM200A,Neuron
TRP73,Neuron
UTRN,Neuron
LRMDA,Monocyte
ABCA9,Monocyte
AOAH,Monocyte
APOE,Monocyte
ARHGAP15,Monocyte
BANK1,Monocyte
CD84,Monocyte
